week,max,min
891,34,79
892,36,35
893,18,65
894,17,21
895,56,45
896,48,50
897,26,13
898,54,10
899,67,26
900,78,12
901,83,4
902,162,21
903,94,3
904,124,51
905,98,29
906,82,44
907,43,23
908,153,60
909,102,25
910,305,38
911,113,38
912,262,16
913,79,22
914,241,38
915,112,22
916,225,12
917,110,52
918,54,36
919,88,25
920,33,36
921,70,47
922,31,67
923,25,45
924,24,48
925,71,113
926,53,99
927,33,125
928,37,96
929,27,40
930,61,84
931,29,156
932,32,231
933,34,83
934,45,111
935,42,85
936,18,301
937,15,113
938,15,203
939,54,361
940,56,124
941,54,155
942,19,219
943,44,213
944,50,69
945,24,40
946,39,34
947,55,32
948,38,47
949,36,25
950,83,21
951,91,9
952,109,34
953,110,41
954,110,11
955,101,20
956,79,41
957,163,19
958,178,27
959,117,22
960,140,26
961,354,51
962,229,40
963,315,25
964,449,26
965,254,53
966,416,33
967,356,17
968,228,18
969,178,29
970,99,51
971,108,59
972,100,63
973,42,41
974,264,85
975,46,160
976,24,157
977,54,64
978,235,227
979,36,79
980,23,81
981,23,100
982,25,191
983,39,207
984,19,310
985,10,206
986,8,276
987,34,126
988,20,176
989,15,142
990,4,475
991,62,167
992,33,213
993,30,78
994,19,113
995,46,349
996,21,1101
997,17,37
998,33,22
999,56,79
1000,41,57
1001,73,26
1002,35,21
1003,48,12
1004,83,32
1005,98,27
1006,103,12
1007,93,27
1008,69,32
1009,146,20
1010,64,29
1011,183,17
1012,83,16
1013,224,94
1014,170,42
1015,258,71
1016,156,55
1017,556,43
1018,566,44
1019,203,18
1020,160,31
1021,140,41
1022,119,44
1023,103,42
1024,41,51
1025,60,83
1026,70,106
1027,64,161
1028,48,88
1029,68,90
1030,126,280
1031,62,115
1032,34,244
1033,33,117
1034,27,431
1035,39,103
1036,29,153
1037,28,120
1038,19,283
1039,39,128
1040,22,325
1041,12,312
1042,23,1066
1043,87,170
1044,53,52
1045,33,31
1046,39,47
1047,49,127
1048,56,177
1049,39,247
1050,40,133
1051,32,47
1052,34,20
1053,48,29
1054,57,8
1055,35,13
1056,90,47
1057,49,29
1058,74,9
1059,129,22
1060,169,89
1061,247,151
1062,69,67
1063,77,55
1064,138,61
1065,171,72
1066,127,46
1067,219,49
1068,557,46
1069,344,121
1070,342,50
1071,260,35
1072,149,50
1073,163,57
1074,714,97
1075,161,30
1076,41,89
1077,41,81
1078,47,72
1079,77,72
1080,30,112
1081,56,107
1082,46,206
1083,39,334
1084,29,144
1085,31,141
1086,59,74
1087,64,434
1088,36,109
1089,46,100
1090,20,227
1091,53,206
1092,28,126
1093,36,465
1094,40,1644
1095,140,385
1096,93,165
1097,89,199
1098,36,110
1099,21,89
1100,87,273
1101,38,91
1102,35,66
1103,51,16
1104,73,41
1105,95,25
1106,90,12
1107,64,16
1108,87,24
1109,91,12
1110,130,9
1111,124,18
1112,87,17
1113,61,30
1114,82,7
1115,84,11
1116,109,32
1117,180,59
1118,153,30
1119,93,25
1120,169,36
1121,328,49
1122,314,26
1123,158,38
1124,207,25
1125,73,25
1126,122,59
1127,187,33
1128,34,29
1129,49,35
1130,65,45
1131,30,60
1132,30,84
1133,47,78
1134,70,87
1135,48,113
1136,69,84
1137,32,231
1138,31,343
1139,61,201
1140,44,91
1141,26,70
1142,22,80
1143,33,164
1144,28,92
1145,23,62
1146,20,53
1147,28,54
1148,39,75
1149,31,87
1150,39,127
1151,36,40
1152,68,81
1153,22,57
1154,47,35
1155,56,27
1156,95,41
