USC00507738,2016/07/18,30.0,NA,PORT SAN JUAN,15.53
SPE00119828,2016/07/18,37.0,NA,OVIEDO,19.05
UPM00033983,2016/07/18,37.7,NA,KERCH,25.07
KUM00040570,2016/07/18,48.3,NA,SALMY,37.87
FRE00104937,2016/07/19,32.3,NA,PTE DE LA HAGUE,16.75
FRM00007117,2016/07/19,36.2,NA,PLOUMANAC'H PERROS GUIREC,17.45
SAM00040435,2016/07/19,45.4,NA,AL-DAWADAMI,NA
KUM00040570,2016/07/19,49.0,NA,SALMY,37.87
CA006037776,2016/07/20,33.1,NA,SIOUX LOOKOUT A,17.68
CA006016529,2016/07/20,33.6,NA,PICKLE LAKE A,NA
CA006025205,2016/07/20,36.0,NA,MINE CENTRE SOUTHWEST,18.91
KUM00040570,2016/07/20,49.8,NA,SALMY,37.87
IZ000040665,2016/07/20,51.0,NA,KUT-AL-HAI,38.7
KUM00040586,2016/07/20,52.0,NA,JAHRA,NA
KUM00040570,2016/07/21,50.4,NA,SALMY,37.87
KU000405820,2016/07/21,51.5,NA,KUWAIT INTERNATIONA,39.76
ITM00016219,2016/07/22,28.1,NA,TERMINILLO MOUNTAIN,17.65
KUM00040570,2016/07/22,50.9,NA,SALMY,37.87
IZ000040665,2016/07/22,51.1,NA,KUT-AL-HAI,38.7
ASN00004028,2016/07/23,NA,-6.0,PARDOO STATION,NA
NZM00093929,2016/07/24,NA,-0.2,ENDERBY ISLAND AWS,6.45
WA007878380,2016/07/27,NA,-6.5,GOBABIS,13.51
USW00024215,2016/07/28,38.9,NA,MT SHASTA,21.06
USC00261327,2016/07/28,48.9,NA,BUNKERVILLE,34.74
POM00008512,2016/07/29,30.0,NA,PONTA DELGADA,23.1
USC00261327,2016/07/29,50.0,NA,BUNKERVILLE,34.74
TZ000063971,2016/07/30,35.0,NA,MTWARA,24.05
USC00055706,2016/07/30,35.6,NA,MONTE VISTA 2W,17.17
USC00261660,2016/07/30,39.4,NA,CHARLESTON - JARBIDGE 17SSW,18.52
SPM00008359,2016/07/31,38.8,NA,ALICANTE,26.3
MGM00044352,2016/08/02,39.4,NA,BAYANDELGER,22.85
SA000040361,2016/08/02,47.2,NA,AL-JOUF,35.95
KUM00040568,2016/08/02,51.2,NA,BUBYAN ISLAND,36.47
MG000044317,2016/08/03,39.5,NA,ERDENETSAGAAN,21.75
MGM00044314,2016/08/03,40.7,NA,MATAD,21.35
MGM00044256,2016/08/03,41.4,NA,DASHBALBAR,19.6
RSM00030978,2016/08/03,41.6,NA,KAJLASTUJ,19.23
MGM00044313,2016/08/03,41.7,NA,KHALKH-GOL,20.7
MG000044259,2016/08/03,41.9,NA,CHOIBALSAN,21.75
CA0061219J2,2016/08/04,28.7,NA,COVE ISLAND (AUT),21.78
MG000044317,2016/08/04,40.0,NA,ERDENETSAGAAN,21.75
KNM00047016,2016/08/05,39.7,NA,HYESAN,21.65
SPE00120413,2016/08/07,40.8,NA,VIGO PEINADOR,21.85
JA000047657,2016/08/08,37.2,NA,MISHIMA,27.59
